"PSU_ID","manning_n","Type_Name","citation","citation_comment"
4157,NA,"19a Low open woodlands dominated by Eucalyptus leucophloia (snappy gum) with Triodia spp. dominated ground layer, mainly on hills and ranges",NA,NA
4158,NA,"19b Low open woodlands dominated by Eucalyptus leucophylla (Cloncurry box) or less extensively Corymbia terminalis (western bloodwood) low open woodlands and related associations, mainly lower slopes and valleys",NA,NA
4159,NA,"19c Low open woodlands dominated by Eucalyptus pruinosa mainly on sandplains, outwash areas and lateritised surfaces",NA,NA
4160,NA,"19d Low open woodlands dominated by Eucalyptus persistens (or E. normantonensis (Normanton box), E. tardecidens, E. provecta) with Triodia spp. dominated ground layer, mainly on hills and ranges",NA,NA
4161,NA,"20a Woodlands to open forests dominated by Callitris glaucophylla (white cypress pine) or C. intratropica (northern cypress pine)",NA,NA
4162,NA,"21a Low woodlands and low open woodlands dominated by Melaleuca viridiflora (coarse-leaved paperbark) on depositional plains",NA,NA
4163,NA,"21b Low open woodlands and tall shrublands of Melaleuca citrolens or M. stenostachya or other Melaleuca spp.",NA,NA
4164,NA,"22a Open forests and woodlands dominated by Melaleuca quinquenervia (swamp paperbark) in seasonally inundated lowland coastal areas and swamps",NA,NA
4165,NA,"22b Open forests and low open forests dominated by Melaleuca spp. (M. viridiflora, M. saligna, M. leucadendra (broad-leaved tea-tree), M. clarksonii or M. arcana (winti)) in seasonally inundated swamps",NA,NA
4166,NA,"22c Open forests dominated by Melaleuca spp. (M. argentea (silver tea-tree), M. leucadendra (broad-leaved tea-tree), M. dealbata (swamp tea-tree) or M. fluviatilis), fringing major streams with Melaleuca saligna or M. bracteata (black tea-tree) in minor streams",NA,NA
4167,NA,"23a Woodlands to low woodlands dominated by Acacia aneura on red earth plains or sandplains (soft mulga)",NA,NA
4168,NA,"23b Tall shrublands to low open woodlands dominated by Acacia aneura on shallow red earth plains (hard mulga)",NA,NA
4169,NA,"24a Low woodlands to tall shrublands dominated by Acacia spp. on residuals. Species include A. shirleyi (lancewood), A. catenulata (bendee), A. microsperma (bowyakka), A. clivicola, A. sibirica (bastard mulga), A. rhodoxylon (rosewood) and A. leptostachya (Townsville wattle)",NA,NA
4170,NA,"24b Open shrublands dominated by Senna spp. on calcareous residuals",NA,NA
4171,NA,"25a Open forests to woodlands dominated by Acacia harpophylla (brigalow) sometimes with Casuarina cristata (belah) on heavy clay soils. Includes areas co-dominated with A. cambagei (gidgee) and/or emergent eucalypts",NA,NA
4172,NA,"26a Open forests to tall shrublands dominated by Acacia cambagei (gidgee) or A. georginae (Georgina gidgee) or A. argyrodendron (blackwood)",NA,NA
4173,NA,"27a Low open woodlands dominated by a variety of species including Acacia tephrina (boree), Atalaya hemiglauca (whitewood), Archidendropsis basaltica (eastern dead finish), Ventilago viminalis (supplejack) and Lysiphyllum spp.",NA,NA
4174,NA,"27b Low woodlands of a variety of species including Lysiphyllum cunninghamii, Grevillea striata (beefwood), Atalaya hemiglauca (whitewood) occurring on sandplains. (Bylong land system)",NA,NA
4175,NA,"27c Low open woodlands dominated by a variety of species including Grevillea striata (beefwood), Acacia spp., Terminalia spp. or Cochlospermum spp.",NA,NA
4176,NA,"28a Complex of open shrublands to closed shrublands, grasslands, low woodlands and open forests, on strand and foredunes. Includes pure stands of Casuarina equisetifolia (coastal she-oak)",NA,NA
4177,NA,"28b Open forests to woodlands dominated by Acacia crassicarpa (brown salwood) or other Acacia spp. with Syzygium spp., Corymbia spp. and/or Parinari nonda (parinari)",NA,NA
4178,NA,"28c Low open forests dominated by Asteromyrtus brassii, Neofabricia myrtifolia, Allocasuarina littoralis (woolly oak), Melaleuca viridiflora (coarse-leaved paperbark) on sandplains and plateaus; or Acacia brassii low open forests or Melaleuca viridiflora low woodlands on ranges; or Thryptomene oligandra � Neofabricia mjoebergii � Melaleuca viridiflora woodlands on drainage depressions",NA,NA
4179,NA,"28d Sand blows to closed herblands of Lepturus repens (stalky grass) and herbs on sand cays and shingle cays",NA,NA
4180,NA,"28e Low open forests to woodlands dominated by Lophostemon suaveolens (swamp box) (or L. confertus (brush box)) or Syncarpia glomulifera (turpentine) frequently with Allocasuarina spp. on rocky hill slopes",NA,NA
4181,NA,"29a Open heaths and dwarf open heaths on coastal dunefields, sandplains and headlands",NA,NA
4182,NA,"29b Open shrublands to open heaths on elevated rocky substrates",NA,NA
4183,NA,"30a Tussock grasslands dominated by Astrebla spp. (Mitchell grass) or Dichanthium spp. (bluegrass) often with Eulalia aurea (silky browntop) on alluvia",NA,NA
4184,NA,"30b Tussock grasslands dominated by Astrebla spp. (Mitchell grass) or Dichanthium spp. (bluegrass) often with Iseilema spp. on undulating downs or clay plains",NA,NA
4185,NA,"31a Open forblands to open tussock grasslands which may be composed of Atriplex spp. (saltbush), Sclerolaena spp. (burr), Asteraceae spp. and/or short grasses on alluvial plains",NA,NA
4186,NA,"31b Short grass / forb herblands to sparse tussock grasslands on stony downs",NA,NA
4187,NA,"32a Closed tussock grasslands dominated by Eriachne spp., Fimbristylis spp., Aristida spp. or Panicum spp.; or Themeda arguens, Dichanthium sericeum (Queensland bluegrass) or Imperata cylindrica (blady grass) on marine and alluvial plains",NA,NA
4188,NA,"32b Closed tussock grasslands and associated open woodlands on undulating clay plains, upland areas and headlands. Dominant species include Heteropogon triticeus (giant speargrass) or Themeda arguens or Sarga plumosum or Imperata cylindrica (blady grass) or Mnesithea rottboellioides (cane grass) / Arundinella setosa. With areas of open woodland dominated by tree species such as Corymbia papuana (ghost gum) / Terminalia spp. / Vachellia ditricha / Piliostigma malabaricum",NA,NA
4189,NA,"33a Hummock grasslands dominated by Triodia basedowii (hard spinifex) or Zygochloa paradoxa (sandhill canegrass) associations on dunefields or sandplains",NA,NA
4190,NA,"33b Hummock grasslands dominated by Triodia pungens or T. longiceps (giant grey spinifex) or T. mitchellii (buck spinifex) sandplains or lateritic surfaces",NA,NA
4191,NA,"34a Lacustrine wetlands. Lakes, ephemeral to permanent, fresh to brackish; water bodies with ground water connectivity. Includes fringing woodlands and sedgelands",NA,NA
4192,NA,"34b Palustrine wetlands. Generally intermittent swamps/claypans (non floodplains) in inland areas dominated by chenopods e.g. Chenopodium auricomum (Queensland blue bush) or Tecticornia spp. (samphire) or herbs",NA,NA
4193,NA,"34c Palustrine wetlands. Freshwater swamps on coastal floodplains dominated by sedges and grasses such as Oryza spp., Eleocharis spp. (spikerush) or Baloskion spp. (cord rush) / Leptocarpus tenax / Gahnia sieberiana (sword grass) / Lepironia spp. Includes small areas of estuarine wetlands",NA,NA
4194,NA,"34d Palustrine wetlands. Freshwater swamps or billabongs on floodplains ranging from permanent and semi-permanent to ephemeral",NA,NA
4195,NA,"34e Palustrine wetlands. Springs with water dependent herbs",NA,NA
4196,NA,"34f Palustrine wetlands. Sedgelands/grasslands on seeps and soaks on wet peaks, and other coastal non-floodplain features",NA,NA
4197,NA,"34g Palustrine wetlands. Generally intermittent swamps/claypans on floodplains in inland areas dominated by chenopods e.g. Chenopodium auricomum (Queensland blue bush) or Tecticornia spp. (samphire) or herbs",NA,NA
4198,NA,"35a Closed forests and low closed forests dominated by mangroves",kaiser_2011_influence,"mangrove forest"
4199,0.0310,"35b Bare saltpans +- areas of Tecticornia spp. (samphire) sparse forblands and/or Xerochloa imberbis or Sporobolus virginicus (sand couch) tussock grasslands",kaiser_2011_influence,"barren land/mud, sand, beach, roads"
4203,NA,"Discontinuous irrigated cropping and horticulture",NA,NA
4207,0.0310,"Nil to very low vegetation cover",kaiser_2011_influence,"barren land/mud, sand, beach, roads"
4209,0.0900,"Builtup",kaiser_2011_influence,"Buildings Non-resistant"
4210,NA,"Bucolic - Isolated dwellings <0.1-1 house per ha",NA,NA
4211,0.0600 ,"Urbanised",kaiser_2011_influence,"middle density urban area"
4213,NA,"Cereals",NA,NA
4216,NA,"Exotic pines plantation",NA,NA
4217,NA,"Hoop pine plantation",NA,NA
4218,NA,"Hardwood Plantation",NA,NA
4222,NA,"Sugar Cane",NA,NA
4223,NA,"Orchard",NA,NA
4224,NA,"Vineyard",NA,NA
4226,NA,"Grazing and Pasture",NA,NA
4227,NA,"Cropping",NA,NA
4229,NA,"Mining, Quarries and Mineral",NA,NA
4230,NA,"Horticulture",NA,NA
4232,NA,"Eaten Out",NA,NA
4233,NA,"Grazed",NA,NA
4234,NA,"Natural",NA,NA
4256,NA,"Woody Cropping",NA,NA
4257,NA,"Other Woodland types",NA,NA
4258,NA,"Other Wet Marsh",NA,NA
4301,NA,"Barley",NA,NA
4302,NA,"Canola",NA,NA
4303,NA,"Chickpeas",NA,NA
4304,NA,"Faba beans",NA,NA
4305,NA,"Fallow",NA,NA
4306,NA,"Field peas",NA,NA
4307,NA,"*Lentils",NA,NA
4308,NA,"Lupins",NA,NA
4309,NA,"Oats",NA,NA
4310,NA,"Pasture",NA,NA
4311,NA,"",NA,NA
4312,NA,"Vetch",NA,NA
4313,NA,"",NA,NA
4314,NA,"Wheat",NA,NA
4315,NA,"",NA,NA
4316,NA,"",NA,NA
4317,NA,"",NA,NA
4318,NA,"*Lucerne",NA,NA
